id,name,display_name,active,brand_id,brand_name,strain_id,strain_name,product_type_id,product_type_name,product_family_id,product_family_name,flower_type,concentrate_type,description,instructions,ingredients,allergens,solvent,servings,pack_size,weight,weight_unit,cost,min_reorder_qty,test_result_unit,thc,cbd,thc_per_serving,cbd_per_serving,sku_reference,quantity_on_hand,image_url,source
,Alien Orange Gum - Flower [Phat Panda],Alien Orange Gum - Flower [Phat Panda],true,,phat panda,,alien orange gum,,Flower,,,,,"Orange Bubblegum x Alien Tech - (Flavors: Citrus, Hash & Peppery), (Effects: Relaxing, Happy & Uplifting), (Aromas: Hsh, Orange & Earthy)",,,,,,,,,,,,,,,,,,,
,Animal Punch - Flower [Phat Panda],Animal Punch - Flower [Phat Panda],true,,phat panda,,animal punch,,Flower,,,,,"Animal Cookies x Purple Punch - (Flavors: Citrus, Earthy & Woody),(Effects: Uplifting, Hungry & Mellow), (Aromas: Woody, Sweet & Earthy)",,,,,,,,,,,,,,,,,,,
,Apple Mac - Flower [Phat Panda],Apple Mac - Flower [Phat Panda],true,,phat panda,,apple mac,,Flower,,,,,"MAC 1 x Trophy Wife - (Flavors: Nutty, Fruity & Peppery), (Effects: Creative, Motivation & Mellow), (Aromas: Earthy, Gassy & Spicy)",,,,,,,,,,,,,,,,,,,
,Apple Tartz - Flower [Phat Panda],Apple Tartz - Flower [Phat Panda],true,,phat panda,,apple tartz,,Flower,,,,,"Runtz x Apple Fritter (Flavors: Apple. Citrus & Earthy), (Effects: Sociable, Uplifting & Creative), (Aromas: Woody, Earthy & Spicy)",,,,,,,,,,,,,,,,,,,
,Area 509 - Flower [Phat Panda],Area 509 - Flower [Phat Panda],true,,phat panda,,area 509,,Flower,,,,,"MAC x Weird Science - (Flavors: Lemon, Pine & Sweet), (Effects: Euphoria, Happy & Calming),(Aromas: Earthy, Woody & Pine)",,,,,,,,,,,,,,,,,,,
,Banana Cake - Flower [Phat Panda],Banana Cake - Flower [Phat Panda],true,,phat panda,,banana cake,,Flower,,,,,"Banana OG x Cheesecake - (Flavros: Creamy, Woody & Nutty), (Effects: Calming, Happy & Hungry), (Aromas: Creamy, Pungent & Woody)",,,,,,,,,,,,,,,,,,,
,banana OG - Flower [Phat Panda],banana OG - Flower [Phat Panda],true,,phat panda,,banana OG,,Flower,,,,,"OG Kush x Banana - (Flavors: Woody, Fruity & Sweet), (Effects: Drowsy, Relaxing &  Body High), (Aromas: Skunky, Fruity & Earthy)",,,,,,,,,,,,,,,,,,,
,Barreled Fruit - Flower [Phat Panda],Barreled Fruit - Flower [Phat Panda],true,,phat panda,,barreled fruit,,Flower,,,,,"Blueberry Bubblegum x Orange Zkittlez - (Flavors: Pine, Sweet & Gassy), (Effects: Focus, Motivation & Relaxing), (Aromas: Woody, Pine & Pungent)",,,,,,,,,,,,,,,,,,,
,Berry Parfait - Flower [Phat Panda],Berry Parfait - Flower [Phat Panda],true,,phat panda,,Berry Parfait,,Flower,,,,,"Peppermint Agave x Trophy Wife - (Flavors: Candy, Gassy & Earthy), (Effects: Hungry, Relaxing & Calming), (Aromas: Gassy, Earthy & Fruity)",,,,,,,,,,,,,,,,,,,
,Bike Wreck - Flower [Phat Panda],Bike Wreck - Flower [Phat Panda],true,,phat panda,,bike wreck,,Flower,,,,,"The Cookie Wreck x Biker Kush - (Flavor: Sweet, Earthy & Pine), (Effects: Motivation, Euphoria & Mellow), (Aromas: Flowery, Pungent & Earthy)",,,,,,,,,,,,,,,,,,,
,biker OG - Flower [Phat Panda],biker OG - Flower [Phat Panda],true,,phat panda,,biker OG,,Flower,,,,,"Lucifer OG x Hells's OG - (Flavors: Citrus, Herbal & Gassy), (Effects: Creative, Sociable & Giggly), (Aromas: Pine, Spicy & Lemon)",,,,,,,,,,,,,,,,,,,
,Biscotti - Flower [Phat Panda],Biscotti - Flower [Phat Panda],true,,phat panda,,biscotti,,Flower,,,,,"Gelato #25 x Girl Scout Cookies x South Florida OG - (Flavors: Nutty, Spicy & Creamy), (Effects: Relaxing, Hungry & Mellow), (Aromas: Earthy, Herbal & Nutty)",,,,,,,,,,,,,,,,,,,
,Biscuits & Gravy - Flower [Phat Panda],Biscuits & Gravy - Flower [Phat Panda],true,,phat panda,,biscuits & gravy,,Flower,,,,,"Ghost OG x Redneck Wedding - (Flavors: Pine, Earthy & Hash), (Effects: Happy, Calming & Hungry), (Aromas: Earthy, Pine & Pungent)",,,,,,,,,,,,,,,,,,,
,Bitch Fuel - Flower [Phat Panda],Bitch Fuel - Flower [Phat Panda],true,,phat panda,,bitch fuel,,Flower,,,,,"AJ's Sour Diesel x Trophy Wife - (Flavors: Gassy, Sweet & Peppery), (Effects: Focused, Uplifting & Giggly), (Aromas: Earty, Spicy & Berry)",,,,,,,,,,,,,,,,,,,
,Bitch Fuel Remix - Flower [Phat Panda],Bitch Fuel Remix - Flower [Phat Panda],true,,phat panda,,bitch fuel remix,,Flower,,,,,"Blue Ciity Diesel x Trophy Wife - (Flavors: Gassy, Spicy & Berry), (Effects: Euphoria, Relaxing & Uplifting), (Aromas: Earthy, Spicy & Herbal)",,,,,,,,,,,,,,,,,,,
,Black Dog - Flower [Phat Panda],Black Dog - Flower [Phat Panda],true,,phat panda,,black dog,,Flower,,,,,"Blackberry Kush x Emerald Headband - (Flavors: Pine, Grape & Gassy), (Effects: Drowsy, Happy & Relaxing), (Aromas: Earthy, Spicy & Sweet)",,,,,,,,,,,,,,,,,,,
